Date,Close
10/31/2014,20.506
11/30/2014,21.23
12/31/2014,22.52
1/31/2015,23.25
2/28/2015,22.764
3/31/2015,22.48
4/30/2015,23.497
5/31/2015,23.06
6/30/2015,22.79
7/31/2015,21.13
8/31/2015,18.75
9/30/2015,19.83
10/31/2015,20.675
11/30/2015,20.965
12/31/2015,16.6
1/31/2016,16.35
2/29/2016,17.545
3/31/2016,17.46
4/30/2016,17.93
5/31/2016,16.85
6/30/2016,18.73
7/31/2016,18.005
8/31/2016,19.915
9/30/2016,16.715
10/31/2016,17.86
11/30/2016,16.927
12/31/2016,18.19
1/31/2017,19.84
2/28/2017,20.68
3/31/2017,20.49
4/30/2017,20.16
5/31/2017,22.383
6/30/2017,22.29
7/31/2017,25.15
8/31/2017,26.24
9/30/2017,25.96
10/31/2017,25.683
11/30/2017,24.49
12/31/2017,27.69
1/31/2018,27.18
2/28/2018,25.75
3/31/2018,25.41
4/30/2018,29.23
5/31/2018,29.06
6/30/2018,29.4
7/31/2018,34.45
8/31/2018,33.43
9/30/2018,27.64
10/31/2018,29.79
11/30/2018,23.98
12/31/2018,28.22
1/31/2019,30.78
2/28/2019,32.88
3/31/2019,32.71
4/30/2019,29.12
5/31/2019,34.47
6/30/2019,34.58
7/31/2019,31.43
8/31/2019,29.52
9/30/2019,29.96
10/31/2019,34.92
11/30/2019,33.52
12/31/2019,32.71
1/31/2020,34.39
2/29/2020,31.28
3/31/2020,40.69
4/30/2020,46.34
5/31/2020,52.16
6/30/2020,53.7
7/31/2020,61.915
8/31/2020,63.71
9/30/2020,65.74
10/31/2020,81.7
11/30/2020,93.26
12/31/2020,101.93
1/31/2021,93.51
2/28/2021,88.73
3/31/2021,88.87
4/30/2021,81.75
5/31/2021,92.5
6/30/2021,84.35
7/31/2021,85.68
8/31/2021,74.72
9/30/2021,75.1
10/31/2021,63.37
11/30/2021,58.39
12/3/2021,58.39
